id,headline,date,url,section
politics/2025/oct/13/john-swinney-scottish-government-sponsor-visas-foreign-care-workers,Swinney says Scottish government will sponsor visas for foreign care workers,2025-10-13T16:28:46Z,https://www.theguardian.com/politics/2025/oct/13/john-swinney-scottish-government-sponsor-visas-foreign-care-workers,Politics
books/2025/oct/14/australia-history-tony-abbott-book-review,Australia: A History by Tony Abbott review – mostly celebratory account of ‘a land built by heroes’,2025-10-13T14:00:06Z,https://www.theguardian.com/books/2025/oct/14/australia-history-tony-abbott-book-review,Books
politics/2025/oct/13/families-david-amess-jo-cox-voice-concern-rise-violent-political-rhetoric,Families of David Amess and Jo Cox voice concern at rise in violent political rhetoric,2025-10-13T14:00:02Z,https://www.theguardian.com/politics/2025/oct/13/families-david-amess-jo-cox-voice-concern-rise-violent-political-rhetoric,Politics
commentisfree/2025/oct/13/gaza-war-donald-trump-peace-israel-benjamin-netanyahu-hostages,"The war in Gaza is over, says Trump. Now who will be responsible for maintaining the peace?",2025-10-13T13:10:01Z,https://www.theguardian.com/commentisfree/2025/oct/13/gaza-war-donald-trump-peace-israel-benjamin-netanyahu-hostages,Opinion
us-news/2025/oct/13/us-veterans-protest-ice-raids,Growing number of US veterans face arrest over Ice raid protests,2025-10-13T12:00:51Z,https://www.theguardian.com/us-news/2025/oct/13/us-veterans-protest-ice-raids,US news
world/2025/oct/13/portugal-far-right-chega-falls-well-short-local-elections,Portugal’s far-right Chega falls well short of expectations in local elections,2025-10-13T10:46:30Z,https://www.theguardian.com/world/2025/oct/13/portugal-far-right-chega-falls-well-short-local-elections,World news
politics/2025/oct/13/uk-charities-toxic-immigration-rhetoric-threats-staff,UK charities say toxic immigration rhetoric leading to threats against staff,2025-10-13T07:00:17Z,https://www.theguardian.com/politics/2025/oct/13/uk-charities-toxic-immigration-rhetoric-threats-staff,Politics
education/2025/oct/13/mps-highlight-plight-of-gaza-students-unable-to-come-to-uk-with-children,MPs highlight plight of Gaza students unable to come to UK with children,2025-10-13T07:00:14Z,https://www.theguardian.com/education/2025/oct/13/mps-highlight-plight-of-gaza-students-unable-to-come-to-uk-with-children,Education
australia-news/live/2025/oct/13/australia-news-live-qantas-hack-data-leak-scam-warning-nsw-sydney-potholes-social-media-ban-anika-wells-albanese-sussan-ley-labor-liberal-coalition-ntwnfb,Victoria police don’t know if Dezi Freeman is still alive – as it happened,2025-10-13T06:33:43Z,https://www.theguardian.com/australia-news/live/2025/oct/13/australia-news-live-qantas-hack-data-leak-scam-warning-nsw-sydney-potholes-social-media-ban-anika-wells-albanese-sussan-ley-labor-liberal-coalition-ntwnfb,Australia news
world/live/2025/oct/12/gaza-ceasefire-live-aid-relief-hamas-release-israel-hostages,Trump heads to Middle East for release of hostages – as it happened,2025-10-12T23:29:24Z,https://www.theguardian.com/world/live/2025/oct/12/gaza-ceasefire-live-aid-relief-hamas-release-israel-hostages,World news
us-news/2025/oct/12/border-agents-trump-immigration-crackdown,‘Cavalier and aggressive’: why are border agents flooding into US cities? ,2025-10-12T14:00:56Z,https://www.theguardian.com/us-news/2025/oct/12/border-agents-trump-immigration-crackdown,US news
film/2025/oct/12/documentary-the-alabama-solution,‘How is this possible?’: a new film looks inside the appalling abuses of the Alabama prison system,2025-10-12T12:34:55Z,https://www.theguardian.com/film/2025/oct/12/documentary-the-alabama-solution,Film
technology/2025/oct/12/meta-ai-adviser-robby-starbuck,"Meta AI adviser spreads disinformation about shootings, vaccines and trans people",2025-10-12T12:00:52Z,https://www.theguardian.com/technology/2025/oct/12/meta-ai-adviser-robby-starbuck,Technology
world/2025/oct/12/thousand-attend-pro-palestine-rallies-across-australia-as-organisers-vow-to-keep-protesting-after-gaza-ceasefire,Thousands attend pro-Palestine rallies across Australia as organisers vow to keep protesting after Gaza ceasefire,2025-10-12T11:51:44Z,https://www.theguardian.com/world/2025/oct/12/thousand-attend-pro-palestine-rallies-across-australia-as-organisers-vow-to-keep-protesting-after-gaza-ceasefire,World news
us-news/2025/oct/12/chicago-marathon-ice,Chicagoans optimistic about annual marathon even amid violent Ice activity,2025-10-12T11:00:50Z,https://www.theguardian.com/us-news/2025/oct/12/chicago-marathon-ice,US news
